,Kp_actual,Ki_actual,Kd_actual,Kp_pred,Ki_pred,Kd_pred,Kp_error,Ki_error,Kd_error
63,100.0,60.0,2.5,99.24992,52.721874,1.9526273,0.7500762939453125,7.278125762939453,0.5473726987838745
64,90.0,160.0,3.0,89.559204,170.9625,3.1131973,0.4407958984375,10.962493896484375,0.11319732666015625
65,40.0,200.0,4.5,40.45508,163.90967,3.4097853,0.455078125,36.09033203125,1.090214729309082
66,20.0,180.0,1.5,18.35255,170.94705,1.5065198,1.6474494934082031,9.052947998046875,0.006519794464111328
67,40.0,100.0,0.0,37.253326,119.47838,0.6416434,2.746673583984375,19.478378295898438,0.6416434049606323
68,30.0,200.0,5.0,31.314829,165.43518,3.4572816,1.314828872680664,34.5648193359375,1.5427184104919434
69,50.0,200.0,4.5,49.428825,157.008,2.7211914,0.5711746215820312,42.99200439453125,1.77880859375
70,20.0,160.0,3.5,18.568222,153.03273,3.4723136,1.4317779541015625,6.9672698974609375,0.027686357498168945
71,60.0,140.0,3.0,59.46417,139.85944,2.9935117,0.5358314514160156,0.14056396484375,0.006488323211669922
72,90.0,80.0,4.5,91.02007,79.31533,4.429167,1.0200729370117188,0.6846694946289062,0.07083320617675781
73,70.0,160.0,1.0,70.2564,171.62155,1.0993888,0.25640106201171875,11.621551513671875,0.09938883781433105
74,50.0,140.0,2.0,50.22096,147.31935,2.288336,0.22095870971679688,7.3193511962890625,0.28833603858947754
75,70.0,20.0,3.5,65.84,24.494179,2.9792297,4.160003662109375,4.494178771972656,0.5207703113555908
76,80.0,0.0,2.0,80.35388,3.1370773,1.9551215,0.3538818359375,3.1370773315429688,0.044878482818603516
77,30.0,200.0,1.5,31.60577,178.99004,1.1168873,1.6057701110839844,21.009963989257812,0.38311266899108887
78,70.0,200.0,0.0,68.60138,187.49216,0.3154106,1.39862060546875,12.507843017578125,0.3154106140136719
79,100.0,60.0,1.5,97.45198,43.17043,0.7770722,2.5480194091796875,16.829570770263672,0.7229278087615967
80,20.0,160.0,1.5,18.251545,168.25266,2.0820956,1.7484550476074219,8.252655029296875,0.5820956230163574
81,100.0,200.0,5.0,102.26355,171.4331,4.543313,2.2635498046875,28.56689453125,0.45668697357177734
82,50.0,200.0,2.0,52.429756,160.31631,1.0022949,2.4297561645507812,39.683685302734375,0.9977051019668579
83,40.0,200.0,3.0,40.842415,175.62924,2.6374986,0.8424148559570312,24.370758056640625,0.3625013828277588
84,60.0,120.0,5.0,57.718784,96.287155,3.4809783,2.2812156677246094,23.712844848632812,1.51902174949646
85,90.0,100.0,1.0,91.21972,137.48804,1.6433775,1.2197189331054688,37.488037109375,0.6433775424957275
86,50.0,20.0,5.0,43.62958,23.952621,2.9379363,6.370418548583984,3.9526214599609375,2.062063694000244
87,60.0,20.0,1.0,61.06922,23.829903,1.972218,1.0692214965820312,3.8299026489257812,0.9722180366516113
88,90.0,20.0,0.0,88.897644,21.633568,0.34682155,1.10235595703125,1.6335678100585938,0.34682154655456543
89,40.0,160.0,4.0,38.27853,145.30531,2.8914418,1.7214698791503906,14.694686889648438,1.108558177947998
90,60.0,60.0,3.5,58.921036,61.644466,3.0355937,1.0789642333984375,1.6444664001464844,0.46440625190734863
91,80.0,20.0,5.0,78.195625,23.809196,3.8414626,1.8043746948242188,3.8091964721679688,1.1585373878479004
92,60.0,40.0,0.0,59.27113,55.071495,0.89583075,0.7288703918457031,15.071495056152344,0.8958307504653931
93,30.0,20.0,3.0,30.421394,14.95752,2.9128804,0.42139434814453125,5.04248046875,0.08711957931518555
94,100.0,80.0,4.0,97.42938,76.30086,3.8533506,2.57061767578125,3.6991424560546875,0.14664936065673828
95,20.0,120.0,2.0,15.625721,99.284195,1.778734,4.374279022216797,20.715805053710938,0.2212660312652588
96,50.0,20.0,2.0,48.55804,25.839844,2.4404423,1.4419593811035156,5.83984375,0.4404423236846924
97,90.0,120.0,0.5,91.57601,144.28088,0.8453319,1.5760116577148438,24.2808837890625,0.34533190727233887
98,30.0,120.0,0.5,30.486479,148.39377,1.27981,0.4864788055419922,28.393768310546875,0.7798099517822266
99,50.0,140.0,0.0,47.185802,172.50545,0.576283,2.814197540283203,32.50544738769531,0.5762829780578613
100,30.0,0.0,2.5,30.251844,7.1007385,2.891467,0.2518444061279297,7.100738525390625,0.3914670944213867
101,80.0,100.0,0.0,76.88278,141.49986,0.8770715,3.117218017578125,41.49986267089844,0.8770714998245239
102,80.0,0.0,3.0,79.522064,0.41238403,3.1554058,0.477935791015625,0.412384033203125,0.15540575981140137
103,70.0,140.0,0.0,69.137474,165.1879,0.62963104,0.8625259399414062,25.187896728515625,0.6296310424804688
104,50.0,160.0,5.0,46.10073,125.67722,3.0829322,3.8992691040039062,34.322776794433594,1.9170677661895752
105,50.0,20.0,3.0,45.59163,16.212624,2.4108834,4.4083709716796875,3.7873764038085938,0.5891165733337402
106,40.0,0.0,4.5,41.392365,8.12101,3.8446624,1.392364501953125,8.121009826660156,0.6553375720977783
107,20.0,160.0,4.5,20.177723,155.99435,4.264398,0.17772293090820312,4.005645751953125,0.23560190200805664
108,60.0,200.0,4.5,60.35748,146.00931,2.7590556,0.3574790954589844,53.990692138671875,1.7409443855285645
109,60.0,60.0,3.0,61.10276,65.08841,3.1334856,1.1027603149414062,5.088409423828125,0.1334855556488037
