Kp,Ki,Kd,RiseTime,Overshoot,SettlingTime,SS_Error
20,40,4,0.73322700919662,2.24838061722206,2.97771365210916,0.000520536599816435
20,40,4.5,0.763502058930948,2.40998268301269,3.12200180027447,0.000651951663086736
20,40,5,0.792287075821667,2.56631949302877,3.25617925268577,0.000755951324555748
20,60,0,0.323945068134867,12.6861958311346,2.23208751982067,6.2727788829875e-07
20,60,0.5,0.346758823550494,10.5179995245112,2.33451195856211,7.09666989018309e-06
20,60,1,0.37933352093189,9.16023818407481,2.43180855873812,4.4543372037964e-05
20,60,1.5,0.411093939668387,8.30341982830534,2.51987437662951,0.000135190859149148
20,60,2,0.440078976726251,7.73224034923161,2.60103068144234,0.000249478697746719
20,60,2.5,0.467859736649925,7.36079270833465,2.67617328002838,0.000374195010479417
20,60,3,0.494227890199615,7.08001368658298,2.74756461406251,0.000457932073192557
20,60,3.5,0.519414499068173,6.8826253269082,2.81559950234216,0.000423679538171129
20,60,4,0.543108262128952,6.73828374680743,2.8818888117206,0.000325740957423104
20,60,4.5,0.565901807977081,6.63560453311201,2.94738421241604,1.36334328610932e-05
20,60,5,0.587209788719252,6.56742971494784,3.01291010736389,0.000473917711127814
20,80,0,0.289400919575587,21.4835992337534,2.58709821915112,8.2043500677198e-05
20,80,0.5,0.300163944278017,18.8357550824779,2.64679348779885,4.68723530766546e-06
20,80,1,0.32590143128277,16.5428886938961,2.26310800549808,0.000116853540131689
20,80,1.5,0.34871851095881,14.9073553989216,2.33364327117516,0.000253338403061076
20,80,2,0.37023847126331,13.694364223629,2.40062044242179,0.000282400676718142
20,80,2.5,0.390463461650482,12.7497160852343,2.46359499133899,0.000101369208657331
20,80,3,0.409965519272553,12.030698291484,2.5227003257999,0.000227313492556114
20,80,3.5,0.429500389512514,11.4324266779368,2.57772218685674,0.000833967304266103
20,80,4,0.4482064307747,10.9127701096724,2.62905080416212,0.001405178956563
20,80,4.5,0.466471854410505,10.4581408448485,3.30464569618862,0.00217771129716526
20,80,5,0.484746373505484,10.0511516879414,3.45886225509437,0.00288715706374365
20,100,0,0.263512771861675,30.1853665727154,2.5969394574021,0.000188013760003436
20,100,0.5,0.270724198819616,26.1690669126762,2.68480085350896,0.000236804196803719
20,100,1,0.292245820619649,23.0693406879463,2.77229740878602,0.000365458552165521
20,100,1.5,0.311091348480015,20.7049577897713,2.85587170437694,0.000142826341563929
